Name,Description,Mapped_to_Departments,Mapped_to_Functions,Mapped_to_Responsibilities,Responsibilities,Unique_ID,🏫 Departments,🏫 Functions
QA Manager,Manages quality systems and processes,DEPT-014,FUNC-005,"RESP-286, RESP-287, RESP-288, RESP-289, RESP-290",,ROLE-058,Quality Assurance (https://www.notion.so/Quality-Assurance-2753dedf985681d0a940c2bced3721f9?pvs=21),Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
QC Director,Leads quality control operations,DEPT-015,FUNC-005,"RESP-296, RESP-297, RESP-298, RESP-299, RESP-300",,ROLE-060,Quality Control (https://www.notion.so/Quality-Control-2753dedf9856818b9181c1780f524e9d?pvs=21),Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
Validation Specialist,Performs equipment and process validation,DEPT-014,FUNC-005,"RESP-291, RESP-292, RESP-293, RESP-294, RESP-295",,ROLE-059,Quality Assurance (https://www.notion.so/Quality-Assurance-2753dedf985681d0a940c2bced3721f9?pvs=21),Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
QC Analyst,Performs quality control testing,DEPT-015,FUNC-005,"RESP-306, RESP-307, RESP-308, RESP-309, RESP-310",,ROLE-062,Quality Control (https://www.notion.so/Quality-Control-2753dedf9856818b9181c1780f524e9d?pvs=21),Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
QC Lab Manager,Manages QC laboratories,DEPT-015,FUNC-005,"RESP-301, RESP-302, RESP-303, RESP-304, RESP-305",,ROLE-061,Quality Control (https://www.notion.so/Quality-Control-2753dedf9856818b9181c1780f524e9d?pvs=21),Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
Compliance Director,Oversees GxP compliance programs,DEPT-016,FUNC-005,"RESP-316, RESP-317, RESP-318, RESP-319, RESP-320",,ROLE-064,Quality Compliance (https://www.notion.so/Quality-Compliance-2753dedf985681d4bbb1f6784cb60031?pvs=21),Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
Microbiologist,Performs microbiological testing,DEPT-015,FUNC-005,"RESP-311, RESP-312, RESP-313, RESP-314, RESP-315",,ROLE-063,Quality Control (https://www.notion.so/Quality-Control-2753dedf9856818b9181c1780f524e9d?pvs=21),Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
Compliance Manager,Manages compliance activities,DEPT-016,FUNC-005,"RESP-321, RESP-322, RESP-323, RESP-324, RESP-325",,ROLE-065,Quality Compliance (https://www.notion.so/Quality-Compliance-2753dedf985681d4bbb1f6784cb60031?pvs=21),Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
MSL Director,Leads medical science liaison team,DEPT-017,FUNC-006,"RESP-331, RESP-332, RESP-333, RESP-334, RESP-335",,ROLE-067,Medical Science Liaisons (https://www.notion.so/Medical-Science-Liaisons-2753dedf9856812bac02c8f28dbd5b52?pvs=21),Medical Affairs (https://www.notion.so/Medical-Affairs-2753dedf98568199b005d55c03e05a2e?pvs=21)
Data Integrity Specialist,Ensures data integrity compliance,DEPT-016,FUNC-005,"RESP-326, RESP-327, RESP-328, RESP-329, RESP-330",,ROLE-066,Quality Compliance (https://www.notion.so/Quality-Compliance-2753dedf985681d4bbb1f6784cb60031?pvs=21),Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
Regional MSL,Regional medical science liaison,DEPT-017,FUNC-006,"RESP-341, RESP-342, RESP-343, RESP-344, RESP-345",,ROLE-069,Medical Science Liaisons (https://www.notion.so/Medical-Science-Liaisons-2753dedf9856812bac02c8f28dbd5b52?pvs=21),Medical Affairs (https://www.notion.so/Medical-Affairs-2753dedf98568199b005d55c03e05a2e?pvs=21)
Senior MSL,Senior medical science liaison,DEPT-017,FUNC-006,"RESP-336, RESP-337, RESP-338, RESP-339, RESP-340",,ROLE-068,Medical Science Liaisons (https://www.notion.so/Medical-Science-Liaisons-2753dedf9856812bac02c8f28dbd5b52?pvs=21),Medical Affairs (https://www.notion.so/Medical-Affairs-2753dedf98568199b005d55c03e05a2e?pvs=21)
Medical Information Manager,Manages medical information services,DEPT-018,FUNC-006,"RESP-346, RESP-347, RESP-348, RESP-349, RESP-350",,ROLE-070,Medical Information (https://www.notion.so/Medical-Information-2753dedf9856810899b7f007fd0f4ae4?pvs=21),Medical Affairs (https://www.notion.so/Medical-Affairs-2753dedf98568199b005d55c03e05a2e?pvs=21)
Medical Information Specialist,Responds to medical inquiries,DEPT-018,FUNC-006,"RESP-351, RESP-352, RESP-353, RESP-354, RESP-355",,ROLE-071,Medical Information (https://www.notion.so/Medical-Information-2753dedf9856810899b7f007fd0f4ae4?pvs=21),Medical Affairs (https://www.notion.so/Medical-Affairs-2753dedf98568199b005d55c03e05a2e?pvs=21)
Medical Writer,Creates medical and scientific content,DEPT-018,FUNC-006,"RESP-356, RESP-357, RESP-358, RESP-359, RESP-360",,ROLE-072,Medical Information (https://www.notion.so/Medical-Information-2753dedf9856810899b7f007fd0f4ae4?pvs=21),Medical Affairs (https://www.notion.so/Medical-Affairs-2753dedf98568199b005d55c03e05a2e?pvs=21)
Publication Manager,Manages publication planning and execution,DEPT-019,FUNC-006,"RESP-366, RESP-367, RESP-368, RESP-369, RESP-370",,ROLE-074,Medical Communications (https://www.notion.so/Medical-Communications-2753dedf98568119a97fd56ca4749a28?pvs=21),Medical Affairs (https://www.notion.so/Medical-Affairs-2753dedf98568199b005d55c03e05a2e?pvs=21)
Medical Communications Director,Leads medical communications strategy,DEPT-019,FUNC-006,"RESP-361, RESP-362, RESP-363, RESP-364, RESP-365",,ROLE-073,Medical Communications (https://www.notion.so/Medical-Communications-2753dedf98568119a97fd56ca4749a28?pvs=21),Medical Affairs (https://www.notion.so/Medical-Affairs-2753dedf98568199b005d55c03e05a2e?pvs=21)
Congress Manager,Manages medical congress activities,DEPT-019,FUNC-006,"RESP-371, RESP-372, RESP-373, RESP-374, RESP-375",,ROLE-075,Medical Communications (https://www.notion.so/Medical-Communications-2753dedf98568119a97fd56ca4749a28?pvs=21),
Chief Safety Officer,Leads pharmacovigilance organization,DEPT-020,FUNC-007,"RESP-376, RESP-377, RESP-378, RESP-379, RESP-380",,ROLE-076,Drug Safety (https://www.notion.so/Drug-Safety-2753dedf98568108b55cd328c72b0e50?pvs=21),Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
Pharmacovigilance Director,Directs drug safety operations,DEPT-020,FUNC-007,"RESP-381, RESP-382, RESP-383, RESP-384, RESP-385",,ROLE-077,Drug Safety (https://www.notion.so/Drug-Safety-2753dedf98568108b55cd328c72b0e50?pvs=21),Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
Drug Safety Scientist,Analyzes safety data and signals,DEPT-020,FUNC-007,"RESP-386, RESP-387, RESP-388, RESP-389, RESP-390",,ROLE-078,Drug Safety (https://www.notion.so/Drug-Safety-2753dedf98568108b55cd328c72b0e50?pvs=21),Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
Risk Management Director,Leads risk management activities,DEPT-021,FUNC-007,"RESP-396, RESP-397, RESP-398, RESP-399, RESP-400",,ROLE-080,Risk Management (https://www.notion.so/Risk-Management-2753dedf9856812b81b3fe582b22637d?pvs=21),Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
Safety Physician,Provides medical assessment of safety data,DEPT-020,FUNC-007,"RESP-391, RESP-392, RESP-393, RESP-394, RESP-395",,ROLE-079,Drug Safety (https://www.notion.so/Drug-Safety-2753dedf98568108b55cd328c72b0e50?pvs=21),Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
Risk Management Scientist,Develops risk management strategies,DEPT-021,FUNC-007,"RESP-401, RESP-402, RESP-403, RESP-404, RESP-405",,ROLE-081,Risk Management (https://www.notion.so/Risk-Management-2753dedf9856812b81b3fe582b22637d?pvs=21),Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
REMS Specialist,Manages REMS programs,DEPT-021,FUNC-007,"RESP-406, RESP-407, RESP-408, RESP-409, RESP-410",,ROLE-082,Risk Management (https://www.notion.so/Risk-Management-2753dedf9856812b81b3fe582b22637d?pvs=21),Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
Head of Epidemiology,Leads epidemiology studies,DEPT-022,FUNC-007,"RESP-411, RESP-412, RESP-413, RESP-414, RESP-415",,ROLE-083,Epidemiology (https://www.notion.so/Epidemiology-2753dedf98568106813eefbe5b5efd2f?pvs=21),Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
Epidemiologist,Conducts epidemiological research,DEPT-022,FUNC-007,"RESP-416, RESP-417, RESP-418, RESP-419, RESP-420",,ROLE-084,Epidemiology (https://www.notion.so/Epidemiology-2753dedf98568106813eefbe5b5efd2f?pvs=21),Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
Real-World Evidence Scientist,Generates real-world evidence,DEPT-022,FUNC-007,"RESP-421, RESP-422, RESP-423, RESP-424, RESP-425",,ROLE-085,Epidemiology (https://www.notion.so/Epidemiology-2753dedf98568106813eefbe5b5efd2f?pvs=21),Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
VP Marketing,Leads marketing organization,DEPT-023,FUNC-008,"RESP-426, RESP-427, RESP-428, RESP-429, RESP-430",,ROLE-086,Marketing (https://www.notion.so/Marketing-2753dedf985681c988fbfa3690992c25?pvs=21),Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
Brand Director,Directs brand strategy and execution,DEPT-023,FUNC-008,"RESP-431, RESP-432, RESP-433, RESP-434, RESP-435",,ROLE-087,Marketing (https://www.notion.so/Marketing-2753dedf985681c988fbfa3690992c25?pvs=21),Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
Product Manager,Manages product marketing,DEPT-023,FUNC-008,"RESP-436, RESP-437, RESP-438, RESP-439, RESP-440",,ROLE-088,Marketing (https://www.notion.so/Marketing-2753dedf985681c988fbfa3690992c25?pvs=21),Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
Marketing Manager,Executes marketing campaigns,DEPT-023,FUNC-008,"RESP-441, RESP-442, RESP-443, RESP-444, RESP-445",,ROLE-089,Marketing (https://www.notion.so/Marketing-2753dedf985681c988fbfa3690992c25?pvs=21),Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
Digital Marketing Specialist,Manages digital marketing channels,DEPT-023,FUNC-008,"RESP-446, RESP-447, RESP-448, RESP-449, RESP-450",,ROLE-090,Marketing (https://www.notion.so/Marketing-2753dedf985681c988fbfa3690992c25?pvs=21),Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
VP Sales,Leads sales organization,DEPT-024,FUNC-008,"RESP-451, RESP-452, RESP-453, RESP-454, RESP-455",,ROLE-091,Sales (https://www.notion.so/Sales-2753dedf985681bc8e71df07523c0b91?pvs=21),Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
National Sales Director,Directs national sales operations,DEPT-024,FUNC-008,"RESP-456, RESP-457, RESP-458, RESP-459, RESP-460",,ROLE-092,Sales (https://www.notion.so/Sales-2753dedf985681bc8e71df07523c0b91?pvs=21),Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
Regional Sales Manager,Manages regional sales teams,DEPT-024,FUNC-008,"RESP-461, RESP-462, RESP-463, RESP-464, RESP-465",,ROLE-093,Sales (https://www.notion.so/Sales-2753dedf985681bc8e71df07523c0b91?pvs=21),Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
Territory Manager,Manages sales territory,DEPT-024,FUNC-008,"RESP-466, RESP-467, RESP-468, RESP-469, RESP-470",,ROLE-094,Sales (https://www.notion.so/Sales-2753dedf985681bc8e71df07523c0b91?pvs=21),Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
Pricing Manager,Develops pricing strategies,DEPT-025,FUNC-008,"RESP-476, RESP-477, RESP-478, RESP-479, RESP-480",,ROLE-096,Market Access (https://www.notion.so/Market-Access-2753dedf98568100a247c608a34f8c72?pvs=21),Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
Market Access Director,Leads market access strategy,DEPT-025,FUNC-008,"RESP-471, RESP-472, RESP-473, RESP-474, RESP-475",,ROLE-095,Market Access (https://www.notion.so/Market-Access-2753dedf98568100a247c608a34f8c72?pvs=21),Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
Reimbursement Specialist,Manages reimbursement processes,DEPT-025,FUNC-008,"RESP-481, RESP-482, RESP-483, RESP-484, RESP-485",,ROLE-097,Market Access (https://www.notion.so/Market-Access-2753dedf98568100a247c608a34f8c72?pvs=21),Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
HEOR Director,Leads health economics and outcomes research,DEPT-026,FUNC-008,"RESP-491, RESP-492, RESP-493, RESP-494, RESP-495",,ROLE-099,HEOR (https://www.notion.so/HEOR-2753dedf98568175a2dad51c13857c22?pvs=21),Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
Payer Relations Manager,Manages relationships with payers,DEPT-025,FUNC-008,"RESP-486, RESP-487, RESP-488, RESP-489, RESP-490",,ROLE-098,Market Access (https://www.notion.so/Market-Access-2753dedf98568100a247c608a34f8c72?pvs=21),Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
Outcomes Research Scientist,Conducts outcomes research,DEPT-026,FUNC-008,"RESP-501, RESP-502, RESP-503, RESP-504, RESP-505",,ROLE-101,HEOR (https://www.notion.so/HEOR-2753dedf98568175a2dad51c13857c22?pvs=21),Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
Health Economist,Conducts economic analyses,DEPT-026,FUNC-008,"RESP-496, RESP-497, RESP-498, RESP-499, RESP-500",,ROLE-100,HEOR (https://www.notion.so/HEOR-2753dedf98568175a2dad51c13857c22?pvs=21),Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
HTA Specialist,Manages HTA submissions,DEPT-026,FUNC-008,"RESP-506, RESP-507, RESP-508, RESP-509, RESP-510",,ROLE-102,HEOR (https://www.notion.so/HEOR-2753dedf98568175a2dad51c13857c22?pvs=21),Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
Chief Business Officer,Leads business development,DEPT-027,FUNC-009,"RESP-511, RESP-512, RESP-513, RESP-514, RESP-515",,ROLE-103,BD&L (https://www.notion.so/BD-L-2753dedf98568174b9ddf38ce64d7056?pvs=21),Business Development (https://www.notion.so/Business-Development-2753dedf985681cda353d8d0951c0a47?pvs=21)
BD Director,Directs business development activities,DEPT-027,FUNC-009,"RESP-516, RESP-517, RESP-518, RESP-519, RESP-520",,ROLE-104,BD&L (https://www.notion.so/BD-L-2753dedf98568174b9ddf38ce64d7056?pvs=21),Business Development (https://www.notion.so/Business-Development-2753dedf985681cda353d8d0951c0a47?pvs=21)
Licensing Manager,Manages licensing deals,DEPT-027,FUNC-009,"RESP-521, RESP-522, RESP-523, RESP-524, RESP-525",,ROLE-105,BD&L (https://www.notion.so/BD-L-2753dedf98568174b9ddf38ce64d7056?pvs=21),Business Development (https://www.notion.so/Business-Development-2753dedf985681cda353d8d0951c0a47?pvs=21)
Alliance Manager,Manages strategic alliances,DEPT-027,FUNC-009,"RESP-526, RESP-527, RESP-528, RESP-529, RESP-530",,ROLE-106,BD&L (https://www.notion.so/BD-L-2753dedf98568174b9ddf38ce64d7056?pvs=21),Business Development (https://www.notion.so/Business-Development-2753dedf985681cda353d8d0951c0a47?pvs=21)
Strategy Director,Leads strategic planning,DEPT-028,FUNC-009,"RESP-531, RESP-532, RESP-533, RESP-534, RESP-535",,ROLE-107,Strategic Planning (https://www.notion.so/Strategic-Planning-2753dedf98568179b018d679d8fc4bae?pvs=21),Business Development (https://www.notion.so/Business-Development-2753dedf985681cda353d8d0951c0a47?pvs=21)
Strategic Planner,Develops strategic plans,DEPT-028,FUNC-009,"RESP-536, RESP-537, RESP-538, RESP-539, RESP-540",,ROLE-108,Strategic Planning (https://www.notion.so/Strategic-Planning-2753dedf98568179b018d679d8fc4bae?pvs=21),Business Development (https://www.notion.so/Business-Development-2753dedf985681cda353d8d0951c0a47?pvs=21)
Business Analyst,Analyzes business opportunities,DEPT-028,FUNC-009,"RESP-541, RESP-542, RESP-543, RESP-544, RESP-545",,ROLE-109,Strategic Planning (https://www.notion.so/Strategic-Planning-2753dedf98568179b018d679d8fc4bae?pvs=21),Business Development (https://www.notion.so/Business-Development-2753dedf985681cda353d8d0951c0a47?pvs=21)
General Counsel,Leads legal function,DEPT-029,FUNC-010,"RESP-546, RESP-547, RESP-548, RESP-549, RESP-550",,ROLE-110,Legal Affairs (https://www.notion.so/Legal-Affairs-2753dedf9856815a9c64dc0df2740948?pvs=21),Legal (https://www.notion.so/Legal-2753dedf985681dfb537f92ad5ccced5?pvs=21)
Patent Attorney,Manages patent portfolio,DEPT-029,FUNC-010,"RESP-551, RESP-552, RESP-553, RESP-554, RESP-555",,ROLE-111,Legal Affairs (https://www.notion.so/Legal-Affairs-2753dedf9856815a9c64dc0df2740948?pvs=21),Legal (https://www.notion.so/Legal-2753dedf985681dfb537f92ad5ccced5?pvs=21)
Regulatory Attorney,Provides regulatory legal counsel,DEPT-029,FUNC-010,"RESP-556, RESP-557, RESP-558, RESP-559, RESP-560",,ROLE-112,Legal Affairs (https://www.notion.so/Legal-Affairs-2753dedf9856815a9c64dc0df2740948?pvs=21),Legal (https://www.notion.so/Legal-2753dedf985681dfb537f92ad5ccced5?pvs=21)
Contract Manager,Manages contracts and agreements,DEPT-029,FUNC-010,"RESP-561, RESP-562, RESP-563, RESP-564, RESP-565",,ROLE-113,Legal Affairs (https://www.notion.so/Legal-Affairs-2753dedf9856815a9c64dc0df2740948?pvs=21),Legal (https://www.notion.so/Legal-2753dedf985681dfb537f92ad5ccced5?pvs=21)
IP Specialist,Manages intellectual property,DEPT-029,FUNC-010,"RESP-571, RESP-572, RESP-573, RESP-574, RESP-575",,ROLE-115,Legal Affairs (https://www.notion.so/Legal-Affairs-2753dedf9856815a9c64dc0df2740948?pvs=21),Legal (https://www.notion.so/Legal-2753dedf985681dfb537f92ad5ccced5?pvs=21)
Compliance Lawyer,Ensures legal compliance,DEPT-029,FUNC-010,"RESP-566, RESP-567, RESP-568, RESP-569, RESP-570",,ROLE-114,Legal Affairs (https://www.notion.so/Legal-Affairs-2753dedf9856815a9c64dc0df2740948?pvs=21),Legal (https://www.notion.so/Legal-2753dedf985681dfb537f92ad5ccced5?pvs=21)
Finance Director,Directs finance operations,DEPT-030,FUNC-011,"RESP-581, RESP-582, RESP-583, RESP-584, RESP-585",,ROLE-117,Finance & Accounting (https://www.notion.so/Finance-Accounting-2753dedf985681c1bcb7d18b3ee38ad9?pvs=21),Finance (https://www.notion.so/Finance-2753dedf98568120b866f8f1e648d809?pvs=21)
CFO,Chief Financial Officer,DEPT-030,FUNC-011,"RESP-576, RESP-577, RESP-578, RESP-579, RESP-580",,ROLE-116,Finance & Accounting (https://www.notion.so/Finance-Accounting-2753dedf985681c1bcb7d18b3ee38ad9?pvs=21),Finance (https://www.notion.so/Finance-2753dedf98568120b866f8f1e648d809?pvs=21)
Controller,Manages accounting and reporting,DEPT-030,FUNC-011,"RESP-586, RESP-587, RESP-588, RESP-589, RESP-590",,ROLE-118,Finance & Accounting (https://www.notion.so/Finance-Accounting-2753dedf985681c1bcb7d18b3ee38ad9?pvs=21),Finance (https://www.notion.so/Finance-2753dedf98568120b866f8f1e648d809?pvs=21)
FP&A Manager,Manages financial planning and analysis,DEPT-030,FUNC-011,"RESP-591, RESP-592, RESP-593, RESP-594, RESP-595",,ROLE-119,Finance & Accounting (https://www.notion.so/Finance-Accounting-2753dedf985681c1bcb7d18b3ee38ad9?pvs=21),Finance (https://www.notion.so/Finance-2753dedf98568120b866f8f1e648d809?pvs=21)
Cost Accountant,Manages cost accounting,DEPT-030,FUNC-011,"RESP-596, RESP-597, RESP-598, RESP-599, RESP-600",,ROLE-120,Finance & Accounting (https://www.notion.so/Finance-Accounting-2753dedf985681c1bcb7d18b3ee38ad9?pvs=21),Finance (https://www.notion.so/Finance-2753dedf98568120b866f8f1e648d809?pvs=21)
CIO,Chief Information Officer,DEPT-031,FUNC-012,"RESP-601, RESP-602, RESP-603, RESP-604, RESP-605",,ROLE-121,Information Technology (https://www.notion.so/Information-Technology-2753dedf985681dba387f647ed4a7eb5?pvs=21),IT/Digital (https://www.notion.so/IT-Digital-2753dedf9856813a80c1ed0c9c9461d3?pvs=21)
IT Director,Directs IT operations,DEPT-031,FUNC-012,"RESP-606, RESP-607, RESP-608, RESP-609, RESP-610",,ROLE-122,Information Technology (https://www.notion.so/Information-Technology-2753dedf985681dba387f647ed4a7eb5?pvs=21),IT/Digital (https://www.notion.so/IT-Digital-2753dedf9856813a80c1ed0c9c9461d3?pvs=21)
Data Scientist,Analyzes data and builds models,DEPT-031,FUNC-012,"RESP-616, RESP-617, RESP-618, RESP-619, RESP-620",,ROLE-124,Information Technology (https://www.notion.so/Information-Technology-2753dedf985681dba387f647ed4a7eb5?pvs=21),IT/Digital (https://www.notion.so/IT-Digital-2753dedf9856813a80c1ed0c9c9461d3?pvs=21)
System Architect,Designs IT systems architecture,DEPT-031,FUNC-012,"RESP-611, RESP-612, RESP-613, RESP-614, RESP-615",,ROLE-123,Information Technology (https://www.notion.so/Information-Technology-2753dedf985681dba387f647ed4a7eb5?pvs=21),IT/Digital (https://www.notion.so/IT-Digital-2753dedf9856813a80c1ed0c9c9461d3?pvs=21)
Digital Transformation Lead,Leads digital transformation initiatives,DEPT-031,FUNC-012,"RESP-626, RESP-627, RESP-628, RESP-629, RESP-630",,ROLE-126,Information Technology (https://www.notion.so/Information-Technology-2753dedf985681dba387f647ed4a7eb5?pvs=21),IT/Digital (https://www.notion.so/IT-Digital-2753dedf9856813a80c1ed0c9c9461d3?pvs=21)
Cybersecurity Specialist,Manages cybersecurity,DEPT-031,FUNC-012,"RESP-621, RESP-622, RESP-623, RESP-624, RESP-625",,ROLE-125,Information Technology (https://www.notion.so/Information-Technology-2753dedf985681dba387f647ed4a7eb5?pvs=21),IT/Digital (https://www.notion.so/IT-Digital-2753dedf9856813a80c1ed0c9c9461d3?pvs=21)